,Cities,Lat,Long,Temp,Humidity,Wind Speed,Cloudiness
0,Mugur-Aksy,50.38,90.44,33.58,76,4.14,0
1,Kapaa,22.08,-159.32,83.1,84,10.29,20
2,Nikolayevsk-na-amure,53.14,140.72,50.32,95,15.1,12
3,Mareeba,-16.99,145.42,82.4,54,10.29,20
4,Te Anau,-45.41,167.72,49.78,70,3.47,0
5,Cherskiy,68.75,161.3,60.67,53,5.14,0
6,Ribeira Grande,38.52,-28.7,75.07,97,4.7,92
7,Manaus,-3.13,-59.98,80.55,78,2.24,0
8,Angoche,-16.23,39.91,75.7,100,14.43,0
9,Alekseyevka,53.25,50.49,50.0,76,2.24,0
10,Brae,60.4,-1.35,55.4,93,12.75,32
11,Bethel,60.79,-161.76,60.08,49,16.11,1
12,Namatanai,-3.66,152.44,82.09,100,3.36,12
13,Rikitea,-23.12,-134.97,73.72,99,15.21,76
14,Wyoming,42.91,-85.71,61.25,69,11.41,75
15,Vila Velha,-3.71,-38.6,78.8,74,12.75,0
16,Faya,18.39,42.45,63.45,77,2.13,0
17,Severo-Kurilsk,50.68,156.12,54.55,94,4.14,88
18,Williston,48.15,-103.62,80.35,33,4.7,90
19,Kiruna,67.86,20.23,44.6,93,8.05,8
20,Qingyuan,27.62,119.06,66.07,97,2.46,92
21,Yellowknife,62.45,-114.38,46.4,52,14.99,20
22,Jalu,29.03,21.55,74.8,45,2.91,0
23,Busselton,-33.64,115.35,62.2,95,18.45,80
24,Zhanaozen,43.35,52.85,65.35,36,16.78,12
25,Hilo,19.71,-155.08,78.1,67,8.05,40
26,Lorengau,-2.02,147.27,78.31,100,4.7,92
27,Kakhi,41.42,46.93,73.4,60,9.17,75
28,Svetlaya,46.54,138.33,56.44,100,12.08,0
29,Talnakh,69.49,88.39,28.09,100,3.02,36
30,Petropavlovka,50.61,105.32,44.92,80,2.35,8
31,Tuktoyaktuk,69.44,-133.03,37.4,93,13.87,90
32,Kavaratti,10.57,72.64,81.19,100,11.41,68
33,Jamestown,-33.21,138.6,60.76,41,10.18,0
34,Soavinandriana,-19.17,46.74,55.81,84,10.51,0
35,Atar,20.52,-13.05,95.05,20,11.52,68
36,Vostok,46.45,135.83,46.0,76,3.69,0
37,Ushuaia,-54.81,-68.31,44.6,48,13.87,20
38,Carnarvon,-30.97,22.13,22.87,74,6.6,24
39,Palmer,61.6,-149.11,67.71,29,20.8,1
40,Albany,42.65,-73.75,53.69,61,5.82,75
41,Talcahuano,-36.72,-73.12,51.8,76,4.7,0
42,Kalmunai,7.42,81.82,71.2,97,2.91,0
43,Kaitangata,-46.28,169.85,50.14,79,4.47,24
44,Khatanga,71.98,102.47,34.57,94,8.72,88
45,Itoman,26.12,127.67,82.83,74,10.29,40
46,Manadhoo,5.77,73.38,80.74,100,9.4,48
47,Georgetown,6.8,-58.16,78.8,88,2.24,20
48,Punta Arenas,-53.16,-70.91,39.2,96,6.93,0
49,Mar del Plata,-46.43,-67.52,52.12,48,9.62,56
50,Mataura,-46.19,168.86,55.0,78,4.47,8
51,Mwene-Ditu,-7.01,23.45,65.8,97,2.35,80
52,Ahipara,-35.17,173.16,57.07,80,13.98,0
53,Bosaso,11.28,49.18,87.04,89,3.36,76
54,Mindelo,41.31,-8.72,63.57,100,4.7,75
55,Gambiran,-7.93,111.77,71.47,85,3.36,0
56,Hermanus,-34.42,19.24,36.19,93,2.35,8
57,Margate,-43.03,147.26,55.4,50,20.8,40
58,Buchanan,5.88,-10.05,77.0,83,4.14,75
59,Kahului,20.89,-156.47,84.58,67,13.87,40
60,Aklavik,68.22,-135.01,48.38,68,6.93,75
61,Tasiilaq,65.61,-37.64,41.0,93,10.29,92
62,Haapiti,-17.57,-149.87,80.6,61,8.05,20
63,Port Alfred,-33.59,26.89,58.24,100,20.02,100
64,East London,-33.02,27.91,58.96,100,28.86,88
65,Avarua,-21.21,-159.78,82.4,65,6.93,20
66,Bluff,-23.58,149.07,72.73,25,13.98,0
67,Port Lincoln,-34.72,135.86,62.47,80,13.65,0
68,Coihaique,-45.58,-72.07,43.41,70,2.24,75
69,Erenhot,43.65,111.97,47.8,58,8.39,0
70,New Norfolk,-42.78,147.06,55.4,50,20.8,40
71,Manakara,-22.14,48.01,70.12,98,9.73,48
72,Victoria,5.28,115.24,78.01,94,2.24,75
73,Ilulissat,69.22,-51.1,32.0,99,3.58,0
74,Misratah,32.38,15.09,78.94,97,7.61,12
75,Bambous Virieux,-20.34,57.76,71.6,68,14.99,20
76,Atuona,-9.8,-139.03,79.57,100,18.57,76
77,Hailar,49.2,119.7,40.69,58,4.59,8
78,Vaini,15.34,74.49,68.41,99,2.46,92
79,Bredasdorp,-34.53,20.04,42.8,87,6.93,76
80,Iracoubo,5.48,-53.21,79.39,80,5.59,0
81,Souillac,45.6,-0.6,62.6,77,1.12,0
82,Dong Hoi,17.48,106.6,75.43,100,18.68,92
83,Yulara,-25.24,130.99,66.2,22,11.41,0
84,Alta Gracia,-31.66,-64.43,64.4,39,6.93,0
85,Vestmannaeyjar,63.44,-20.27,49.24,100,6.04,92
86,Sola,62.78,29.36,51.8,87,4.7,90
87,Provideniya,64.42,-173.23,48.79,98,8.05,88
88,Puerto Ayora,-0.74,-90.35,75.2,69,16.11,20
89,Saskylakh,71.97,114.09,31.6,87,3.47,0
90,Laguna,27.52,-110.01,86.0,66,8.05,90
91,Torbay,47.66,-52.73,50.0,87,6.93,90
92,Windhoek,-22.57,17.08,34.48,30,7.49,0
93,Cape Town,-33.93,18.42,44.6,87,3.36,20
94,Gamba,28.28,88.52,27.01,82,2.01,32
95,Luderitz,-26.65,15.16,52.3,69,14.09,0
96,Wukari,7.87,9.78,73.36,99,7.38,92
97,Batagay-Alyta,67.8,130.41,31.24,93,4.03,92
98,San Cristobal,-0.39,-78.55,53.6,76,17.22,75
99,Lata,30.78,78.62,55.99,87,2.13,24
100,Rawson,-43.3,-65.11,42.13,49,3.02,0
101,Namibe,-15.19,12.15,64.27,98,4.59,8
102,Alice Springs,-23.7,133.88,68.0,22,12.75,0
103,Paita,-5.09,-81.11,70.84,71,10.07,0
104,San Carlos de Bariloche,-41.13,-71.31,37.4,55,8.05,0
105,Luau,-10.7,22.23,69.49,79,2.68,20
106,Pevek,69.7,170.27,53.56,73,6.49,20
107,Naze,5.43,7.07,75.2,94,5.59,75
108,Saravena,6.96,-71.88,68.77,99,2.13,80
109,Lima,-12.06,-77.04,60.22,64,2.35,0
110,Nyagan,62.14,65.43,42.04,86,10.07,56
